ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2011-07-03,60 to 79,,,192,Number,Registered deaths,0
CPWEE1,,2011-07-03,80 and over,,,314,Number,Registered deaths,0
CPWEE1,,2011-07-03,Total,,,601,Number,Registered deaths,0
CPWEE1,,2011-07-03,Under 30,,,22,Number,Registered deaths,0
CPWEE1,,2011-07-10,30 to 59,,,60,Number,Registered deaths,0
CPWEE1,,2011-07-10,60 to 79,,,217,Number,Registered deaths,0
CPWEE1,,2011-07-10,80 and over,,,301,Number,Registered deaths,0
CPWEE1,,2011-07-10,Total,,,597,Number,Registered deaths,0
CPWEE1,,2011-07-10,Under 30,,,19,Number,Registered deaths,0
CPWEE1,,2011-07-17,30 to 59,,,64,Number,Registered deaths,0
CPWEE1,,2011-07-17,60 to 79,,,182,Number,Registered deaths,0
CPWEE1,,2011-07-17,80 and over,,,310,Number,Registered deaths,0
CPWEE1,,2011-07-17,Total,,,576,Number,Registered deaths,0
CPWEE1,,2011-07-17,Under 30,,,20,Number,Registered deaths,0
CPWEE1,,2011-07-24,30 to 59,,,58,Number,Registered deaths,0
CPWEE1,,2011-07-24,60 to 79,,,228,Number,Registered deaths,0
CPWEE1,,2011-07-24,80 and over,,,328,Number,Registered deaths,0
CPWEE1,,2011-07-24,Total,,,637,Number,Registered deaths,0
CPWEE1,,2011-07-24,Under 30,,,23,Number,Registered deaths,0
CPWEE1,,2011-07-31,30 to 59,,,80,Number,Registered deaths,0
CPWEE1,,2011-07-31,60 to 79,,,220,Number,Registered deaths,0
CPWEE1,,2011-07-31,80 and over,,,349,Number,Registered deaths,0
CPWEE1,,2011-07-31,Total,,,666,Number,Registered deaths,0
CPWEE1,,2011-07-31,Under 30,,,17,Number,Registered deaths,0
CPWEE1,,2011-08-07,30 to 59,,,73,Number,Registered deaths,0
CPWEE1,,2011-08-07,60 to 79,,,207,Number,Registered deaths,0
CPWEE1,,2011-08-07,80 and over,,,363,Number,Registered deaths,0
CPWEE1,,2011-08-07,Total,,,667,Number,Registered deaths,0
CPWEE1,,2011-08-07,Under 30,,,24,Number,Registered deaths,0
CPWEE1,,2011-08-14,30 to 59,,,70,Number,Registered deaths,0
CPWEE1,,2011-08-14,60 to 79,,,184,Number,Registered deaths,0
CPWEE1,,2011-08-14,80 and over,,,352,Number,Registered deaths,0
CPWEE1,,2011-08-14,Total,,,622,Number,Registered deaths,0
CPWEE1,,2011-08-14,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2011-08-21,30 to 59,,,80,Number,Registered deaths,0
CPWEE1,,2011-08-21,60 to 79,,,226,Number,Registered deaths,0
